Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,loglinear,stan-map,420.09,1.6,506.61,256653.8
collections,DLT,linear,stan-map,3532.39,6.6,4073.89,16596600.65
commons-fileupload,DLT,linear,stan-mcmc,252.63,4.49,313.35,98190.43
jxpath,DLT,loglinear,stan-map,980.52,3.3,1263.73,1597007.48
commons-jelly,DLT,loglinear,stan-mcmc,40.56,0.09,44.91,2016.91
dbutils,DLT,loglinear,stan-mcmc,295.16,4.41,314.78,99083.91
cocoon,DLT,linear,stan-mcmc,13246.36,5.23,15309.21,234371898.9
cayenne,DLT,linear,stan-map,11606.06,5.25,11755.53,138192440.17
hive,DLT,linear,stan-map,53895.12,8.52,65008.17,4226061817.66
bcel,DLT,linear,stan-mcmc,1270.93,2.29,1557.05,2424396.56
zookeeper,DLT,linear,stan-mcmc,1077.18,1.7,1256.3,1578290.35
felix,DLT,linear,stan-mcmc,10241.99,3.98,16175.46,261645664.81
beanutils,DLT,loglinear,stan-mcmc,287.51,0.51,351.76,123731.63
commons-cli,DLT,loglinear,stan-mcmc,201.39,2.63,236.87,56108.48
commons-exec,DLT,linear,stan-map,173.59,3.23,215.93,46625.99
net,DLT,linear,stan-map,316.74,1.09,384.22,147623.9
batik,DLT,loglinear,stan-map,37897.88,34.25,50727.77,2573306958.83
ognl,DLT,linear,stan-map,37.87,0.14,43.04,1852.66
santuario,DLT,linear,stan-mcmc,3588.77,2.95,4535.49,20570687.26
daemon,DLT,linear,stan-mcmc,26.18,0.65,31.43,987.57
commons-jexl,DLT,loglinear,stan-map,2157.91,13.83,2562.08,6564245.12
httpcore,DLT,loglinear,stan-map,1670.81,2.22,2439.23,5949821.85
thrift,DLT,linear,stan-map,168.24,0.81,220.49,48614.73
configuration,DLT,linear,stan-map,967.11,2.34,1049.36,1101154.5
commons-io,DLT,linear,stan-mcmc,3593.95,9.67,4948.32,24485835.92
httpclient,DLT,loglinear,stan-map,19182.24,30.62,21031.6,442328257.47
archiva,DLT,linear,stan-map,9551.97,9.07,15775.02,248851324.49
validator,DLT,linear,stan-map,504.72,3.02,688.2,473625.82
dbcp,DLT,loglinear,stan-mcmc,512.89,3.66,741.76,550200.94
codec,DLT,linear,stan-mcmc,808.14,4.77,977.05,954629.14
vfs,DLT,linear,stan-map,701.47,2.6,926.84,859041.51
