S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1155_Actual,S1155_Simulated
5.840641657373398,5.905965091877481,5.726847747587197,5.406354149356674,5.823045895483019,5.623524564790877,6.327936783729195,6.198847681621536,1.9459101490553132,2.218394196647229,5.717027701406222,5.778379256897303,4.248495242049359,3.9342304055250064
5.786897381366708,5.289235189664822,5.717027701406222,4.377515512100434,5.814130531825066,5.903229204409635,6.311734809152915,8.011067650338084,1.9459101490553132,2.6650831708409464,5.700443573390687,6.2574057813928174,4.248495242049359,4.201934651320143
5.783825182329737,5.946181634860817,5.720311776607412,5.8074297274880795,5.811140992976701,5.579758035272595,6.302618975744905,5.9062333404445315,1.9459101490553132,2.393706214968316,5.69035945432406,5.0707736038158515,4.248495242049359,3.6273342508544153
5.7745515455444085,5.725524372109178,5.720311776607412,6.27462172772159,5.811140992976701,5.468057486730283,6.313548046277095,6.143468475646183,1.9459101490553132,1.2224680846658575,5.680172609017068,5.951753969094645,4.2626798770413155,4.3834447958757154
5.755742213586912,5.683855602549014,5.720311776607412,5.703968720557598,5.811140992976701,5.940239793984997,6.3080984415095305,6.5779208643376545,1.791759469228055,2.9122578327322,5.631211781821365,5.916582037368621,4.23410650459726,3.8902701723112356
5.765191102784844,5.1903004675526665,5.726847747587197,5.298117582752563,5.811140992976701,4.953436424644805,6.298949246855942,6.633009649231898,1.791759469228055,1.6407498574128674,5.634789603169249,5.529827525296911,4.23410650459726,3.884258421964912
5.765191102784844,4.7054076923051555,5.733341276897746,4.8015632463900655,5.811140992976701,5.493297187174428,6.298949246855942,6.244710143278284,1.791759469228055,2.0926575819682935,5.66988092298052,5.834669227561504,4.23410650459726,4.079954541790974
5.75890177387728,4.934878235160368,5.703782474656201,4.821653647498674,5.808142489980444,4.910263562839705,6.278521424165844,6.335268601137366,1.791759469228055,2.3361524123044832,5.6131281063880705,5.670868759425563,4.23410650459726,3.9400072570298565
5.7745515455444085,5.898853119772495,5.717027701406222,5.6981945427813105,5.808142489980444,6.038239722717085,6.278521424165844,6.791870545894881,1.791759469228055,3.0184846031446897,5.616771097666572,5.101933257651551,4.23410650459726,4.182531656982272
5.765191102784844,6.237837100802742,5.71042701737487,5.434841583749841,5.808142489980444,5.77682983639569,6.2878585601617845,5.577464909466531,1.791759469228055,1.9870385399492494,5.616771097666572,5.551432726565866,4.23410650459726,3.9485329441497496
5.777652323222656,6.288589295303979,5.707110264748875,5.7378850706342615,5.755742213586912,5.715965651394031,6.3080984415095305,6.234378420132747,1.791759469228055,1.2530526654755048,5.66988092298052,6.894120401829342,4.23410650459726,4.648113837038735
5.777652323222656,5.313483452145745,5.707110264748875,5.109354741795426,5.755742213586912,5.423141847320364,6.3080984415095305,6.37680966641266,1.791759469228055,0.23518306467773886,5.66988092298052,6.714946242782794,4.23410650459726,3.9612444058056484
