,SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2924,48024,2001-10-29 19:59:54,120,4,556,230,5,0,41,201,38,54,12,21,55,52,54
2925,48040,2001-11-20 11:41:05,120,4,558,230,5,0,41,201,38,54,12,21,55,52,54
2926,48050,2001-12-14 18:31:18,120,4,558,230,5,0,41,201,38,54,12,21,55,52,54
2927,48065,2001-12-14 18:31:58,120,4,558,230,5,0,41,201,38,54,12,22,55,52,54
2928,47869,2002-02-04 08:43:22,120,4,558,230,5,0,41,200,38,54,13,22,55,52,54
2929,47859,2002-02-04 12:44:25,120,4,558,231,5,0,41,200,38,54,13,22,55,52,54
2930,47854,2002-02-04 13:07:31,120,4,558,231,5,0,41,200,38,54,13,22,55,52,54
2931,47898,2002-03-01 10:17:23,120,4,560,231,5,0,41,200,38,55,13,22,55,52,54
2932,47929,2002-03-01 10:53:23,120,4,560,231,5,0,41,200,38,55,13,22,55,52,54
2933,47937,2002-03-04 13:36:57,120,4,562,231,5,0,41,200,38,55,13,22,55,52,54
2934,47929,2002-03-06 17:49:42,120,4,562,231,5,0,41,200,38,55,13,22,55,52,54
2935,47980,2002-03-09 22:30:15,120,4,562,231,5,0,41,200,38,55,13,22,55,52,54
2936,47996,2002-03-11 17:19:49,120,4,562,237,5,0,41,200,38,55,13,22,55,52,48
2937,48611,2002-03-12 17:52:00,122,4,578,231,5,0,41,202,38,56,13,22,56,55,48
2938,48591,2002-04-03 14:42:28,122,4,578,231,5,0,41,202,38,56,13,22,56,55,48
2939,48605,2002-04-05 08:59:39,122,4,579,231,5,0,41,202,38,55,13,22,56,55,48
2940,48705,2002-04-23 20:55:54,122,4,579,231,5,0,41,202,38,55,13,22,56,55,48
2941,48778,2002-04-24 11:01:31,122,4,579,231,5,0,41,202,38,55,13,22,56,55,47
2942,48712,2002-04-26 22:35:40,122,4,585,231,5,0,40,202,38,55,13,22,56,55,49
2943,49028,2002-05-08 20:59:29,122,4,587,232,5,0,42,203,38,55,13,22,56,55,49
2944,49027,2002-05-10 14:45:56,122,4,589,232,5,0,42,203,38,55,13,22,56,55,49
2945,49052,2002-05-17 19:24:04,122,4,589,232,5,0,42,203,38,55,13,22,56,55,49
2946,49058,2002-06-03 09:06:37,122,4,589,233,5,0,42,203,38,55,13,22,56,55,48
2947,48960,2002-06-05 11:05:37,122,4,589,233,5,0,42,203,38,55,13,22,56,55,43
2948,48707,2002-06-06 11:31:17,122,4,589,233,5,0,42,204,38,55,13,22,56,55,43
2949,48781,2002-06-06 11:32:05,122,4,585,233,5,0,42,205,34,54,13,22,56,54,43
2950,48808,2002-06-06 11:32:55,122,4,584,233,5,0,42,205,34,54,13,22,56,54,43
2951,48797,2002-06-06 11:35:43,122,4,586,233,5,0,42,205,34,54,13,22,56,54,43
2952,48785,2002-06-13 13:43:24,121,4,587,233,5,0,36,205,34,54,13,22,56,54,39
2953,48815,2002-06-13 13:45:00,121,4,587,233,5,0,36,205,34,54,13,22,56,54,39
2954,48783,2002-07-04 22:16:42,121,4,587,233,5,0,35,205,34,54,13,22,56,54,39
2955,48785,2002-07-06 15:51:34,121,4,586,233,5,0,30,205,34,54,13,22,56,54,31
2956,48805,2002-07-11 19:39:05,121,4,586,233,5,0,30,205,34,54,13,22,56,54,31
2957,48706,2002-08-01 22:38:42,121,4,586,233,5,0,30,205,34,54,13,22,56,54,31
2958,48902,2002-08-02 11:57:51,121,4,585,227,5,0,30,205,34,54,13,22,56,54,31
2959,48964,2002-08-07 18:01:32,121,4,585,227,5,0,30,206,34,54,13,22,56,54,31
2960,49181,2002-11-09 17:09:03,121,4,589,227,5,0,30,208,35,54,13,22,56,54,32
2961,49206,2002-11-10 18:30:05,121,4,589,227,5,0,30,208,36,54,13,22,56,54,32
2962,49213,2002-11-30 11:16:44,121,4,590,227,5,0,30,208,36,54,12,22,56,54,32
2963,49203,2003-02-12 10:15:29,121,4,590,227,5,0,30,208,36,54,12,22,56,54,32
2964,49060,2003-05-23 07:50:52,121,4,605,227,5,0,30,208,36,54,12,24,56,54,32
2965,49076,2003-05-23 07:52:22,121,4,613,226,5,0,30,208,36,54,12,25,56,54,32
2966,49491,2003-05-23 07:55:36,121,4,613,215,5,0,28,208,36,54,12,23,56,54,32
2967,49568,2003-07-24 14:14:47,122,4,615,215,5,0,4,208,35,54,12,22,56,54,32
2968,49505,2003-08-20 12:36:17,122,4,615,215,5,0,4,208,35,54,12,22,56,54,32
2969,49543,2003-08-20 13:31:14,122,4,621,215,5,0,4,208,35,54,12,22,56,54,32
2970,49510,2003-09-03 07:27:31,122,4,622,215,5,0,4,208,35,54,12,22,56,54,32
2971,49420,2003-12-18 20:55:12,122,4,622,215,5,0,4,208,34,54,12,22,56,54,32
2972,49454,2004-12-15 08:28:55,122,4,620,215,5,0,4,208,34,54,12,22,56,54,32
2973,49483,2005-02-10 06:13:01,122,4,622,215,5,0,4,208,34,54,12,22,56,54,32
2974,49453,2005-02-10 06:18:38,122,4,622,215,5,0,4,209,34,54,12,22,56,54,32
2975,49459,2005-02-10 06:47:28,122,4,622,215,5,0,4,209,34,54,12,22,56,54,32
2976,49497,2005-02-11 04:01:09,122,4,622,215,5,0,4,209,34,54,12,22,56,54,32
2977,50159,2005-02-13 03:15:08,122,4,639,215,7,0,5,209,34,54,12,22,57,54,31
