,SQALE_INDEX,COMMIT_DATE
7048,0,2005-08-05 12:21:46
7049,0,2005-08-19 04:07:50
7050,0,2005-08-31 10:19:40
7051,0,2005-08-31 10:48:16
7052,0,2005-09-22 21:57:56
7053,0,2005-09-22 23:57:31
7054,0,2005-09-23 14:09:14
7055,0,2006-01-28 23:15:24
7056,0,2006-01-29 00:15:04
7057,0,2006-02-12 00:14:47
7058,0,2006-03-11 19:18:50
7059,0,2006-03-12 12:07:59
7060,0,2006-05-24 20:29:38
7061,0,2006-07-09 20:32:36
7062,0,2007-11-29 23:24:30
7063,0,2007-12-04 12:11:05
7064,0,2007-12-04 22:15:42
7065,0,2007-12-06 22:32:34
7066,0,2007-12-07 16:38:27
7067,0,2007-12-07 16:39:01
7068,0,2008-01-01 22:50:59
7069,0,2008-01-23 22:13:53
7070,0,2008-02-08 17:02:37
7071,0,2008-04-07 08:59:39
7072,0,2008-04-07 13:00:54
7073,0,2008-04-11 16:37:11
7074,0,2008-04-23 15:04:09
7075,0,2008-04-26 17:07:48
7076,0,2008-06-20 16:12:45
7077,0,2008-07-18 19:39:05
7078,0,2008-07-18 20:25:50
7079,0,2008-07-18 21:20:27
7080,0,2008-11-13 23:58:31
7081,0,2008-11-14 00:04:44
7082,0,2009-01-13 22:56:37
7083,0,2009-02-01 21:18:31
7084,0,2009-02-17 23:51:27
7085,0,2009-02-23 13:47:04
7086,0,2009-04-26 15:01:06
7087,0,2009-04-30 21:57:03
7088,0,2009-07-14 15:23:55
7089,0,2010-03-04 18:03:14
7090,0,2010-05-31 22:16:39
7091,0,2010-06-04 08:53:38
7092,0,2010-08-12 16:18:02
7093,0,2010-08-12 18:08:25
7094,0,2010-08-12 18:09:28
7095,0,2010-08-13 11:08:38
7096,0,2010-08-13 15:14:09
7097,0,2010-08-13 16:15:02
7098,0,2010-08-13 20:56:21
7099,0,2010-08-13 20:56:45
7100,0,2010-08-13 23:14:57
7101,0,2010-09-02 20:41:11
7102,0,2010-09-02 20:42:42
7103,0,2010-09-13 20:01:12
7104,0,2010-09-14 20:23:08
7105,0,2010-09-20 19:17:55
7106,0,2010-09-20 19:18:34
7107,0,2010-09-20 19:19:18
7108,0,2010-09-20 20:03:15
7109,0,2010-10-04 03:49:59
7110,0,2010-10-05 22:54:13
7111,0,2010-10-05 23:01:33
7112,0,2010-10-24 19:54:09
7113,0,2010-10-24 20:29:47
7114,0,2010-11-05 19:07:57
7115,0,2011-02-04 14:29:32
7116,0,2011-02-21 07:30:50
7117,0,2011-10-09 10:40:55
7118,0,2011-10-10 21:33:07
7119,0,2011-10-10 21:47:27
7120,0,2011-11-30 07:57:29
7121,0,2012-04-02 14:36:30
7122,0,2012-04-02 14:49:30
7123,0,2012-10-22 19:14:08
7124,0,2013-12-20 03:14:49
7125,0,2013-12-28 14:20:34
7126,0,2013-12-28 14:33:22
7127,0,2014-01-02 18:07:58
7128,0,2014-01-09 17:54:51
7129,0,2014-01-10 14:23:40
7130,0,2014-01-10 15:55:04
7131,0,2014-01-11 10:34:22
7132,0,2014-01-11 11:30:16
7133,0,2014-01-11 13:02:36
7134,0,2014-01-11 14:12:45
7135,0,2014-01-11 14:19:34
7136,0,2014-02-05 01:17:47
7137,0,2014-02-05 01:54:34
7138,0,2016-01-06 09:37:15
7139,0,2016-01-06 10:07:02
7140,0,2016-01-06 13:10:09
7141,0,2016-01-06 15:12:26
7142,0,2016-01-08 20:21:33
7143,0,2016-01-08 21:12:32
7144,0,2016-01-08 21:16:44
7145,0,2016-01-08 23:29:56
7146,0,2016-01-11 17:59:34
7147,0,2017-10-08 10:10:03
