,SQALE_INDEX,COMMIT_DATE
7390,0,2006-10-08 21:35:45
7391,0,2006-10-08 22:09:28
7392,0,2006-10-09 01:12:43
7393,0,2006-10-09 01:17:37
7394,0,2006-10-13 00:56:18
7395,0,2006-10-13 04:46:16
7396,0,2006-10-14 14:26:28
7397,0,2006-12-03 18:05:37
7398,0,2006-12-05 01:13:05
7399,0,2006-12-09 00:31:40
7400,0,2006-12-28 22:50:07
7401,0,2006-12-28 23:13:32
7402,0,2006-12-29 12:24:36
7403,0,2006-12-29 13:10:03
7404,0,2007-02-04 22:15:11
7405,0,2007-03-14 06:50:03
7406,0,2007-05-18 03:10:33
7407,0,2007-10-12 13:33:33
7408,0,2007-10-12 20:41:09
7409,0,2007-10-12 21:30:52
7410,0,2007-10-12 22:26:24
7411,0,2007-10-12 23:36:12
7412,0,2007-10-13 01:16:14
7413,0,2007-10-13 14:30:30
7414,0,2007-10-20 05:12:22
7415,0,2007-10-24 15:53:07
7416,0,2007-11-20 12:13:31
7417,0,2007-12-06 18:06:10
7418,0,2008-01-03 04:47:17
7419,0,2008-01-05 15:05:55
7420,0,2008-01-05 15:24:10
7421,0,2008-01-05 15:53:33
7422,0,2008-01-06 00:30:42
7423,0,2008-01-06 02:28:01
7424,0,2008-01-06 20:33:36
7425,0,2008-01-06 23:35:00
7426,0,2008-01-07 14:54:07
7427,0,2008-01-08 04:20:00
7428,0,2008-01-12 18:09:51
7429,0,2008-01-17 02:56:18
7430,0,2008-02-06 20:09:02
7431,0,2008-02-06 20:16:55
7432,0,2008-02-06 21:24:02
7433,0,2008-02-06 22:33:04
7434,0,2008-02-06 22:43:55
7435,0,2008-02-09 18:52:19
7436,0,2008-03-07 00:05:43
7437,0,2008-04-06 09:56:32
7438,0,2008-04-08 08:16:28
7439,0,2008-04-17 00:16:53
7440,0,2008-05-30 19:12:01
7441,0,2008-08-11 11:21:38
7442,0,2008-11-29 04:46:54
7443,0,2008-11-29 05:05:59
7444,0,2008-11-30 00:01:36
7445,0,2008-11-30 01:24:12
7446,0,2008-12-04 00:02:54
7447,0,2008-12-04 01:49:44
7448,0,2008-12-04 03:30:23
7449,0,2008-12-05 22:42:34
7450,0,2009-02-06 11:02:37
7451,0,2009-02-06 13:29:06
7452,0,2009-02-14 02:32:19
7453,0,2009-08-11 22:12:56
7454,0,2009-08-17 21:37:30
7455,0,2010-01-08 17:43:55
7456,0,2010-01-10 00:48:55
7457,0,2010-03-04 18:07:30
7458,0,2010-03-05 01:27:08
7459,0,2010-03-06 01:26:05
7460,0,2010-03-07 21:03:27
7461,0,2010-03-08 19:58:29
7462,0,2010-03-08 20:36:39
7463,0,2010-03-13 01:34:52
7464,0,2010-04-14 14:15:08
7465,0,2010-04-14 17:19:15
7466,0,2010-08-05 00:18:19
7467,0,2010-08-05 00:52:57
7468,0,2010-08-05 01:00:36
7469,0,2010-09-08 14:57:57
7470,0,2010-09-08 17:15:52
7471,0,2010-09-28 21:49:24
7472,0,2010-09-29 01:25:41
7473,0,2010-09-29 03:22:56
7474,0,2010-09-29 03:44:01
7475,0,2010-09-29 11:28:11
7476,0,2010-09-29 15:43:48
7477,0,2010-09-29 18:57:00
7478,0,2010-09-29 20:56:23
7479,0,2010-09-30 00:25:13
7480,0,2010-09-30 01:08:56
7481,0,2010-09-30 15:44:52
7482,0,2010-09-30 16:56:55
7483,0,2010-10-01 01:07:13
7484,0,2010-10-03 23:44:19
7485,0,2010-10-04 02:33:36
7486,0,2010-10-04 02:59:49
7487,0,2010-10-04 03:04:47
7488,0,2010-10-04 04:48:25
7489,0,2010-10-04 06:15:01
7490,0,2010-10-05 00:43:14
7491,0,2010-10-05 00:51:48
7492,0,2010-10-05 21:58:06
7493,0,2010-10-06 00:00:41
7494,0,2010-10-06 01:51:47
7495,0,2010-10-06 02:16:13
7496,0,2010-10-08 04:02:57
7497,0,2010-10-08 17:41:58
7498,0,2010-10-08 17:49:59
7499,0,2010-10-08 22:10:55
7500,0,2010-10-09 01:09:25
7501,0,2010-10-09 01:55:02
7502,0,2010-10-13 03:51:27
7503,0,2010-10-13 22:08:56
7504,0,2010-10-13 22:48:04
7505,0,2010-10-13 23:18:20
7506,0,2010-10-14 22:24:08
7507,0,2010-10-15 00:56:13
7508,0,2010-12-22 23:03:20
7509,0,2010-12-23 03:12:09
7510,0,2011-03-12 01:13:38
7511,0,2011-03-12 22:12:33
7512,0,2011-03-13 00:45:10
7513,0,2011-04-10 11:43:51
7514,0,2011-04-13 05:14:25
7515,0,2011-04-13 05:22:45
7516,0,2011-05-25 17:10:05
7517,0,2011-05-26 10:03:42
7518,0,2011-07-18 14:51:14
7519,0,2011-08-04 17:47:24
7520,0,2011-09-11 20:09:47
7521,0,2011-11-11 02:13:59
7522,0,2011-11-14 14:10:16
7523,0,2011-11-16 01:30:46
7524,0,2011-11-16 02:47:59
7525,0,2011-11-16 02:52:04
7526,0,2012-01-20 16:08:12
7527,0,2012-02-17 20:49:39
7528,0,2012-02-22 19:20:01
7529,0,2012-03-01 15:36:26
7530,0,2012-03-01 16:00:32
7531,0,2012-03-01 17:45:11
7532,0,2012-03-13 17:03:32
7533,0,2012-03-13 17:29:39
7534,0,2012-03-13 18:42:09
7535,0,2012-03-14 02:48:08
7536,0,2012-03-17 01:21:11
7537,0,2012-03-22 23:15:07
7538,0,2012-03-23 02:56:59
7539,0,2012-03-30 13:12:16
7540,0,2012-03-30 13:40:31
7541,0,2012-03-30 14:01:45
7542,0,2012-03-30 18:20:23
7543,0,2012-04-06 00:49:42
7544,0,2012-04-06 13:52:24
7545,0,2012-04-06 14:07:04
7546,0,2012-04-06 14:46:16
7547,0,2012-04-16 13:03:17
7548,0,2012-04-16 16:35:23
7549,0,2012-04-16 16:36:22
7550,0,2012-04-16 19:34:53
7551,0,2012-04-16 20:37:17
7552,0,2012-04-18 13:06:20
7553,0,2012-06-01 17:27:21
7554,0,2012-06-05 14:48:01
7555,0,2012-06-07 20:54:50
7556,0,2012-06-07 23:23:48
7557,0,2012-06-12 19:29:22
7558,0,2012-08-10 13:51:48
7559,0,2012-08-10 13:55:35
7560,0,2012-08-10 14:08:15
7561,0,2012-08-10 14:34:07
7562,0,2012-08-10 15:34:00
7563,0,2012-08-10 16:04:31
7564,0,2012-08-10 16:11:59
7565,0,2012-08-29 13:28:12
7566,0,2012-10-25 19:15:57
7567,0,2012-11-06 17:02:39
7568,0,2012-11-29 16:00:37
7569,0,2012-11-29 16:16:45
7570,0,2012-11-29 16:18:23
7571,0,2012-11-29 16:29:49
7572,0,2012-11-30 14:18:47
7573,0,2012-11-30 15:30:50
7574,0,2012-11-30 15:32:16
7575,0,2012-11-30 16:45:09
7576,0,2012-11-30 20:51:39
7577,0,2013-01-04 15:57:10
7578,0,2013-01-31 23:02:03
7579,0,2013-04-16 22:07:06
7580,0,2013-04-17 00:59:42
7581,0,2013-04-17 02:26:03
7582,0,2013-04-17 12:32:56
7583,0,2013-04-17 14:16:14
7584,0,2013-04-17 14:39:33
7585,0,2013-04-20 23:23:36
7586,0,2013-04-21 21:05:14
7587,0,2013-04-22 21:30:55
7588,0,2013-04-24 00:10:46
7589,0,2013-05-16 08:43:51
7590,0,2013-05-16 13:09:56
7591,0,2013-05-16 14:29:26
7592,0,2013-06-02 13:42:14
7593,0,2013-06-02 14:15:37
7594,0,2013-10-25 02:42:12
7595,0,2013-11-25 02:59:40
7596,0,2014-01-30 16:28:29
7597,0,2014-04-12 12:02:01
7598,0,2014-07-16 21:15:39
7599,0,2014-10-27 23:09:49
7600,0,2014-10-27 23:40:02
7601,0,2014-12-01 20:58:40
7602,0,2015-04-14 16:10:27
7603,0,2015-05-22 06:58:18
7604,0,2015-05-22 12:08:02
7605,0,2015-06-18 15:57:56
7606,0,2015-06-19 17:03:34
7607,0,2015-06-19 18:00:44
7608,0,2015-06-19 18:39:41
7609,0,2015-06-19 21:32:13
7610,0,2015-06-20 06:31:39
7611,0,2015-06-21 16:04:25
7612,0,2015-06-21 18:44:49
7613,0,2015-06-25 19:08:15
7614,0,2015-06-26 15:27:24
7615,0,2015-06-26 21:35:40
7616,0,2015-08-06 11:47:58
7617,0,2015-08-10 11:26:22
7618,0,2015-09-10 06:35:02
7619,0,2015-11-19 17:08:23
7620,0,2015-11-19 17:23:28
7621,0,2015-11-19 20:04:36
7622,0,2015-12-09 19:50:30
7623,0,2015-12-09 19:51:14
7624,0,2015-12-19 08:52:51
7625,0,2015-12-21 05:51:18
7626,0,2015-12-21 06:47:22
7627,0,2016-05-06 23:23:34
7628,0,2016-05-06 23:38:23
7629,0,2016-05-07 00:06:57
7630,0,2016-06-30 09:04:21
7631,0,2017-11-16 15:33:58
