,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
155,39587.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,40272.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,40957.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,41642.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,42328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757,45977.23886229757
161,,40443.79024409424,37386.01841562379,29756.26224623918,46785.98279934433,52124.7518135123,18522.130691665978,64583.32994904028,46402.875038501275,54742.77137300079,49977.15479765729,35139.5288994477,51204.3906572647,20335.53908656859,51430.63919104505,43037.08851074208,55057.50546017032,71585.25700259056,20800.806694644907,41859.31716198321,56328.194384527225,43433.68460148639,19093.438975872705,60589.29339026999,53597.09313304886,29645.597581536113,14980.548312883802,36764.67024820426,36747.75427839637,23120.31914054566,18631.39512949491
162,,90393.48108803085,40687.54166069824,71441.00480534199,22660.948375820968,80268.70159226184,53109.94157694849,57608.27541778176,43544.882782498484,57846.527661320535,34961.08264128226,54291.61495234663,50157.66239027759,69235.01629812432,67255.39439823892,37565.1235231324,27329.605320388706,39134.07046978863,32514.230796425058,55682.850836647376,54743.474983711436,66010.88261069049,45344.44017035568,75487.85751724409,51050.48862319728,39244.14225969992,43211.206012934475,13997.130292733686,27500.21307522899,16426.603170292878,63934.986340315154
