Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,861.04,3.36,1266.84,1604874.57
collections,DGLM,2050.16,4.4,1897.36,3599985.96
commons-fileupload,DGLM,67.95,1.35,59.04,3485.23
jxpath,DGLM,22.34,0.08,32.01,1024.49
commons-jelly,DGLM,65.07,0.15,46.09,2124.11
dbutils,DGLM,951.76,21.02,754.36,569066.13
cocoon,DGLM,46409.02,37.91,56566.34,3199750711.31
cayenne,DGLM,14178.79,7.11,14246.84,202972530.38
hive,DGLM,121750.69,44.86,115837.71,13418374262.11
bcel,DGLM,436.95,0.78,494.13,244164.36
zookeeper,DGLM,1402.49,2.35,1403.55,1969950.01
felix,DGLM,64826.05,60.76,64971.37,4221278916.61
beanutils,DGLM,2013.61,3.79,1443.49,2083651.83
commons-cli,DGLM,424.76,7.89,360.03,129621.3
commons-exec,DGLM,526.75,12.29,401.27,161019.01
net,DGLM,912.89,3.42,630.17,397112.58
batik,DGLM,24792.51,17.03,25057.84,627895134.6
ognl,DGLM,203.89,0.77,192.77,37161.46
santuario,DGLM,9254.54,9.57,7681.28,59002067.17
daemon,DGLM,53.22,1.38,53.82,2896.54
commons-jexl,DGLM,844.75,8.28,808.06,652968.03
httpcore,DGLM,5495.87,9.57,4423.31,19565714.23
thrift,DGLM,2439.3,14.7,2467.82,6090151.2
configuration,DGLM,2471.31,7.07,1987.14,3948707.9
commons-io,DGLM,1393.05,5.72,1534.05,2353304.8
httpclient,DGLM,6201.08,8.48,6332.76,40103846.96
archiva,DGLM,17498.17,20.26,16917.35,286196692.46
validator,DGLM,138.37,0.94,200.56,40222.41
dbcp,DGLM,1230.11,7.31,1276.15,1628563.43
codec,DGLM,704.26,5.16,647.31,419014.3
vfs,DGLM,853.86,3.57,821.77,675309.96
