,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29,Simulated_30,Simulated_31,Simulated_32,Simulated_33,Simulated_34,Simulated_35,Simulated_36,Simulated_37,Simulated_38,Simulated_39,Simulated_40,Simulated_41,Simulated_42,Simulated_43,Simulated_44,Simulated_45,Simulated_46,Simulated_47,Simulated_48,Simulated_49
279,75578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,77148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,77176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,78669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,81155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643,76751.27437738643
285,,75884.70008640659,82411.21908828612,76420.12199043727,67877.21275290988,77120.82076663469,56210.31673638716,74457.94700494125,88976.31883506842,73905.64486383255,84111.29319667547,75905.42503828269,75512.58350285963,85156.38121251504,74139.2510801451,70413.3231796407,88244.82525499028,60788.952226136964,69646.68153203336,89672.17596825915,78122.21875569272,68397.65687268178,76658.33484845424,68050.22647940266,72037.61869160703,64859.5400342375,83319.20841688782,76989.4883755598,70873.87333788424,78287.00976053627,86590.63123177814,73770.05030416796,81936.1794523751,79928.20573092067,78587.29238549722,74655.6921644709,71484.7810964101,77271.91275033672,81552.97462861302,70405.12159581597,72179.4969648058,70950.9568427264,79251.74785140294,72648.19399631352,76010.81377088779,80201.34437915096,72714.08253606301,69851.3565547339,68624.30644156878,78977.71821612571,79598.90971560027
286,,88690.8194030618,79990.48551242215,73078.30028986426,91165.56333072609,71075.07478042351,76935.4576329457,84488.1166562939,78327.4250954969,75123.06208257184,74052.28274968521,68221.4808799494,81497.23282745073,73473.52227920975,71574.59074069725,77261.87315053889,65692.05539200899,82269.78504563453,78407.68488122182,69139.70761947981,73762.57397419157,66112.23712237761,77522.01063743036,67931.0194253791,74841.4725999851,77666.88260697303,73286.65629415268,66538.81268054551,72337.90001763312,67630.37538127041,81022.89062254409,74468.79394931931,63819.8856911703,79408.5428976274,71808.54248692784,84968.76034664342,71165.10224402709,78208.17114955648,69038.08883760034,73576.84704152256,91072.09692379343,66550.96736495328,68279.51714927683,75674.31400703108,72067.22893941792,75489.17630219714,74981.49022404877,82075.25729746123,82466.1118489222,77970.28198424127,70697.72553434013
287,,83641.96484466265,84696.13990243978,80696.29792729297,83068.68575000156,77300.50280905078,76055.51985683944,79600.8481577721,71454.21707432184,79559.98515724626,65056.72636101671,72827.58362730735,72247.94646758905,81355.32473125239,82594.13268034034,77195.64021842608,75906.24727112785,72014.46755513974,73927.72766447952,81270.17033974135,81122.38985325069,79111.83095470982,71671.61888612084,79963.9645136325,74473.35305963765,74153.36028233355,82881.66687373069,72512.58477995805,78176.54166443985,80242.35024970825,72969.35122099458,68416.17401761276,77827.68247472397,73556.3997404066,86557.57063788608,78436.67270057902,91003.82057304213,73663.89264897954,66170.37746129531,88578.4230883816,79515.23359279204,79416.0688374383,79821.395754766,73066.20244678872,79100.10202579024,69422.75543362439,69337.64424659433,73840.89306339716,71934.20382751634,66553.92638408116,73770.2257850725
288,,73923.51001819136,62454.331480022534,66908.77942725971,65345.186413807416,63912.072803590105,68085.37021727998,66560.11745498964,81054.6505718771,72754.21195191302,77680.91100272354,77558.16092113928,68774.3750940558,81701.13953854781,83004.97400159025,91226.51538497939,74774.95904044888,83063.23864422631,86913.58389934759,83872.71634549116,74503.50230133151,85133.9494291424,72742.47713146685,90166.48536635101,75339.74268236522,77536.86687144118,80544.27942059001,76959.3546198922,82048.25810294914,80806.27334053261,72387.51378516239,77220.46720918076,75316.32663080582,81840.20926588653,77148.8012778711,85700.78426619011,72135.78166578067,74380.0664540854,76266.27939725753,89392.86554880248,79517.53349109573,72917.90486385835,80722.85604069101,66292.6008983488,75518.89784695816,85345.30081695985,81510.44871345496,84261.05938016545,70837.12204578961,66078.92465282296,70344.7036527642
