Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
bcel,DLT,linear,stan-map,1210.73,2.16,1488.17,2214659.01
httpcore,DLT,loglinear,stan-mcmc,1641.99,2.18,2411.96,5817553.76
archiva,DLT,linear,stan-map,8861.33,8.38,14930.31,222914086.14
