Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,logistic,stan-map,488.8,1.86,575.12,330763.27
collections,DLT,linear,stan-map,4216.88,7.86,4807.14,23108579.24
commons-fileupload,DLT,linear,stan-mcmc,244.53,4.3,308.3,95049.61
jxpath,DLT,loglinear,stan-mcmc,759.08,2.55,1011.81,1023755.38
commons-jelly,DLT,loglinear,stan-mcmc,41.77,0.1,47.39,2246.1
dbutils,DLT,logistic,stan-mcmc,18.48,0.28,30.88,953.47
cocoon,DLT,linear,stan-mcmc,22281.81,8.11,26089.46,680659759.22
cayenne,DLT,linear,stan-map,3558.31,1.63,3810.33,14518647.16
hive,DLT,linear,stan-map,50265.94,7.99,60463.99,3655894655.17
bcel,DLT,linear,stan-map,1415.79,2.52,1655.3,2740018.99
zookeeper,DLT,linear,stan-mcmc,1076.2,1.7,1160.79,1347429.9
felix,DLT,linear,stan-map,13410.26,5.52,16461.5,270980990.69
beanutils,DLT,loglinear,stan-mcmc,397.97,0.7,474.9,225527.04
commons-cli,DLT,loglinear,stan-mcmc,329.72,4.24,358.28,128367.13
commons-exec,DLT,linear,stan-map,178.93,3.33,226.73,51407.54
net,DLT,linear,stan-mcmc,368.82,1.25,419.14,175681.03
batik,DLT,flat,stan-map,26478.12,21.01,28670.07,821972982.72
ognl,DLT,linear,stan-map,77.51,0.29,89.9,8081.7
santuario,DLT,linear,stan-map,3487.73,2.87,4118.32,16960538.42
daemon,DLT,linear,stan-mcmc,31.51,0.78,37.2,1383.59
commons-jexl,DLT,loglinear,stan-mcmc,2014.55,12.94,2454.21,6023167.93
httpcore,DLT,loglinear,stan-map,1585.87,2.1,2497.96,6239798.94
thrift,DLT,loglinear,stan-mcmc,507.37,2.43,593.9,352721.56
configuration,DLT,linear,stan-map,1406.21,3.22,2080.36,4327890.14
commons-io,DLT,linear,stan-mcmc,3711.34,10.05,5087.69,25884585.04
httpclient,DLT,logistic,stan-map,21044.4,33.71,22131.89,489820647.52
archiva,DLT,linear,stan-map,7561.78,7.27,13470.91,181465309.02
validator,DLT,linear,stan-map,601.65,3.61,815.25,664625.45
dbcp,DLT,loglinear,stan-mcmc,463.09,3.29,687.87,473166.97
codec,DLT,linear,stan-map,878.74,5.18,1071.86,1148891.89
vfs,DLT,loglinear,stan-map,641.26,2.36,933.3,871047.35
