S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1151_Actual,S1151_Simulated
4.948759890378168,4.189295074572902,3.258096538021482,3.411590488688553,1.3862943611198906,1.5414280278559198,1.0986122886681098,0.08546578921313353,6.016157159698354,5.00170704510986,0.0,3.0021800730187986,7.00397413672268,6.007955147221165,3.5263605246161616,2.133853788746623
4.983606621708336,4.841885847651349,3.332204510175204,2.854287403164033,0.6931471805599453,1.656334229244326,0.6931471805599453,0.0,5.720311776607412,5.073156081715118,0.0,4.769096120799524,6.75110146893676,6.403898553812088,3.5553480614894135,1.9593159525183996
4.969813299576001,4.670714983177029,3.332204510175204,2.4794179057358994,0.6931471805599453,1.96778366119988,0.6931471805599453,0.3382864882384657,5.713732805509369,4.454406297557809,0.0,2.5827170959817924,6.760414691083428,7.696296327649174,3.5553480614894135,1.7573205722300094
4.976733742420574,4.120655012303389,3.332204510175204,3.3013202177779872,0.6931471805599453,2.017344792533603,0.6931471805599453,0.2229109173470488,5.717027701406222,5.923998073219867,0.0,3.824822608695892,6.716594773520978,6.939134456777943,3.6375861597263857,2.2872147317045517
4.997212273764115,4.07835583917044,3.332204510175204,4.4218525470804115,0.6931471805599453,1.2528328149535972,0.6931471805599453,0.33880107474249904,5.71042701737487,4.05111769025528,0.0,0.7068705564489788,6.7357800142423265,6.512594243278648,3.6375861597263857,2.240431257160665
5.003946305945459,4.118771899670446,3.332204510175204,3.38998632810968,0.6931471805599453,3.047310454437997,0.6931471805599453,0.0,5.697093486505405,6.73484744216737,0.0,1.7232421438720933,6.733401891837359,5.3785788222518285,3.6375861597263857,3.060834561101383
5.003946305945459,4.522920362487962,3.332204510175204,3.7632569568393697,0.6931471805599453,2.0695057994445065,0.6931471805599453,0.15185696462496173,5.69035945432406,4.997812731299638,0.0,1.0085567342364106,6.7339969528486705,5.400271517610705,3.6375861597263857,1.481397757847698
5.003946305945459,4.797954712831081,3.332204510175204,4.2531704911150445,0.6931471805599453,0.9872011319552552,0.6931471805599453,0.4811181673501123,5.683579767338681,4.869820220754592,0.0,6.430350810102732,6.734591659972948,5.185958713524197,3.6375861597263857,1.8581625945853273
5.0106352940962555,4.136501747548816,3.332204510175204,2.922632472753874,0.6931471805599453,2.0227601953698757,0.6931471805599453,0.0,5.700443573390687,7.094599521407735,0.0,4.641868761048736,6.734591659972948,6.636548163866619,3.6375861597263857,3.0521420197814573
5.030437921392435,4.273401198307286,3.332204510175204,3.571306769456919,0.6931471805599453,1.9000678432695062,0.6931471805599453,0.0,5.68697535633982,6.508696480500316,0.0,3.155996610741802,6.739336627357174,6.142416223942173,3.6375861597263857,1.5998623105139038
5.030437921392435,4.121331740321416,3.332204510175204,4.583604904733541,0.6931471805599453,2.610452639880715,0.6931471805599453,0.01436788274826048,5.697093486505405,5.530134553669086,0.0,0.711044437800092,6.75343791859778,5.988159496334012,3.6375861597263857,2.1787739778594224
5.087596335232384,4.478417480614363,3.332204510175204,3.4844835259119824,0.6931471805599453,2.041450272213533,0.6931471805599453,0.1739070468142217,5.6937321388027,4.1230595698813035,0.0,3.0468556018480353,6.759255270663693,4.551976213093855,3.713572066704308,2.1721238137022087
