Index,Lower,Upper,Predicted,Actual
124,44861.23,49259.45,47060.34,46327.0
125,44988.77,49494.62,47241.7,46247.0
126,44084.53,49410.6,46747.57,46526.0
127,44370.68,49833.38,47102.03,47054.75
128,44726.8,50309.72,47518.26,47583.5
129,44963.71,50679.04,47821.38,48112.25
130,45228.5,51072.66,48150.58,48641.0
131,45681.43,51358.63,48520.03,49330.5
132,45865.29,51591.4,48728.34,50020.0
133,45808.92,51653.0,48730.96,50412.0
134,46494.14,52290.75,49392.45,50542.67
135,46535.54,52291.86,49413.7,50673.33
136,46747.31,52658.9,49703.11,50804.0
137,46861.26,52930.93,49896.1,50844.0
138,46967.86,53192.73,50080.3,50884.0
139,47008.0,53341.74,50174.87,51040.0
140,47039.05,53470.32,50254.68,51168.67
141,46953.83,53488.91,50221.37,51297.33
142,46891.64,53536.67,50214.16,51426.0
143,46169.74,53917.97,50043.86,55580.0
144,46279.19,54057.09,50168.14,55582.33
145,46288.83,54094.71,50191.77,55584.67
146,46882.7,54664.37,50773.53,55587.0
147,46805.14,54489.84,50647.49,55457.0
148,46555.97,54847.03,50701.5,55469.33
149,46290.5,55252.44,50771.47,55481.67
150,46012.61,55652.68,50832.64,55494.0
151,46019.96,55778.68,50899.32,55513.0
152,46094.08,55961.46,51027.77,55532.0
153,46051.02,56035.18,51043.1,55551.0
154,46081.36,56087.67,51084.52,55570.0
