Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,DLM,MCMC,14894.82,227.28,16892.13,285344009.73
collections,DLM,MCMC,5003.34,11.09,5963.71,35565833.9
commons-fileupload,DLM,MCMC,206.96,3.76,276.77,76603.38
jxpath,DLM,MCMC,1332.72,4.33,1913.4,3661102.77
commons-jelly,DLM,MCMC,5179.8,16.29,5806.75,33718315.86
dbutils,DLM,MCMC,270.29,4.06,523.77,274338.26
cocoon,DLM,MCMC,108620.42,75.3,114022.35,13001096514.03
cayenne,DLM,MCMC,9337.47,4.43,9663.57,93384582.07
hive,DLM,MCMC,18525.45,2.89,27109.95,734949580.12
bcel,DLM,MCMC,1461.99,2.6,1783.06,3179317.44
zookeeper,DLM,MCMC,1406.33,2.29,1621.39,2628905.79
felix,DLM,MCMC,19894.45,8.84,24837.09,616880978.14
beanutils,DLM,MCMC,3739.41,7.36,4520.53,20435166.55
commons-cli,DLM,MCMC,1812.51,27.79,2004.61,4018455.35
commons-exec,DLM,MCMC,1309.32,34.0,1322.81,1749828.13
net,DLM,MCMC,1912.28,7.32,2106.46,4437179.94
batik,DLM,MCMC,13267.87,7.84,25624.4,656609877.27
ognl,DLM,MCMC,543.2,2.02,603.22,363874.76
santuario,DLM,MCMC,13661.07,13.87,15980.86,255387928.92
daemon,DLM,MCMC,358.26,9.95,404.45,163583.01
commons-jexl,DLM,MCMC,2820.3,22.72,3273.68,10716992.33
httpcore,DLM,MCMC,6268.14,8.94,7131.26,50854882.64
thrift,DLM,MCMC,1276.55,6.72,1451.25,2106114.31
configuration,DLM,MCMC,1946.8,5.25,2512.75,6313913.16
commons-io,DLM,MCMC,2748.14,11.03,3576.57,12791862.62
httpclient,DLM,MCMC,7698.46,9.64,10328.81,106684345.93
archiva,DLM,MCMC,23941.94,29.56,27785.71,772045474.08
validator,DLM,MCMC,331.56,2.16,583.2,340116.9
dbcp,DLM,MCMC,306.16,2.04,467.44,218503.38
codec,DLM,MCMC,1289.98,8.49,1464.86,2145803.62
vfs,DLM,MCMC,2510.17,10.93,2889.27,8347901.99
