S00117_Actual,S00117_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated
1.791759469228055,1.8846891797460226,1.0986122886681098,1.539752183574873,5.924255797414532,4.9970275798126575,6.863803391452954,5.996123387695626
1.791759469228055,2.277668168117712,1.0986122886681098,1.2682595030733412,6.018593214496234,5.242291975848137,6.893656354602635,5.342551399907836
1.791759469228055,2.754217399476512,1.0986122886681098,1.0710054361307326,6.025865973825314,5.018441824152304,6.904750769961838,5.488540002644985
1.791759469228055,3.13441039213717,1.0986122886681098,0.6290344206734882,6.028278520230698,4.761815189318735,6.907755278982137,5.498089145050389
1.791759469228055,1.6139075315293243,1.0986122886681098,2.4889783533119276,6.018593214496234,3.436719357505215,6.926577033222725,7.629036236868085
1.791759469228055,1.960330588943622,1.0986122886681098,0.4863789361462747,5.937536205082426,4.362125550796474,6.903747257584598,6.056073284835203
2.772588722239781,1.5666916674923765,1.3862943611198906,1.7962809267146478,6.016157159698354,4.96078512948508,7.00397413672268,7.454579544351777
2.6390573296152584,2.574974340407975,0.6931471805599453,1.02988943347239,5.713732805509369,4.267413073339193,6.760414691083428,5.9077445176791565
2.6390573296152584,0.8970904225666625,0.6931471805599453,1.7744014249013562,5.71042701737487,5.587614796514659,6.7357800142423265,4.989414682031482
2.6390573296152584,1.373371287175489,0.6931471805599453,0.06324118167525294,5.683579767338681,4.343773824794878,6.734591659972948,6.703180384305912
2.6390573296152584,1.5518973968812226,0.6931471805599453,1.5993627976500602,5.69035945432406,5.649341276710227,6.738152494595957,6.4494122544122146
2.6390573296152584,1.5235511431844029,0.6931471805599453,0.7112854784341411,5.697093486505405,4.544775401492176,6.7580945044277305,7.0743295738611245
