,Actual_last_5_vals,Mean_Simulation,Simulated_31,Simulated_17,Simulated_38,Simulated_25,Simulated_6,Simulated_28,Simulated_18,Simulated_21,Simulated_7,Simulated_43,Simulated_41,Simulated_14,Simulated_37,Simulated_34,Simulated_8,Simulated_5,Simulated_13,Simulated_40,Simulated_42,Simulated_33,Simulated_27,Simulated_16,Simulated_47,Simulated_2,Simulated_24,Simulated_44,Simulated_32,Simulated_15,Simulated_35,Simulated_48,Simulated_29,Simulated_19,Simulated_10,Simulated_22,Simulated_36,Simulated_26,Simulated_23,Simulated_20,Simulated_12,Simulated_1,Simulated_9,Simulated_46,Simulated_45,Simulated_4,Simulated_0,Simulated_49,Simulated_3,Simulated_11,Simulated_30,Simulated_39
0,42899.57205240175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42902.17903930131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42904.78602620088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42907.39301310044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71,45603.71
6,,45782.71,46530.94,44172.63,43103.91,51141.21,42252.77,49806.52,47742.77,45181.88,41135.33,44020.0,47925.76,47820.68,50321.74,45419.01,43192.4,44905.17,44253.78,48199.61,46443.58,42062.63,47273.2,43636.35,41109.0,44708.73,45776.03,45496.95,43981.33,46932.46,47570.64,47572.58,53251.38,41317.42,42367.0,43135.44,44689.06,47373.19,46595.42,48337.58,36166.94,47872.44,47815.0,44479.82,48663.66,48125.03,48718.25,53421.46,44248.87,37174.99,44303.67,51389.43
7,,45776.04,48250.38,45040.1,47018.86,44884.58,42322.32,41763.63,52311.66,48596.36,47492.17,42766.18,47023.2,45484.3,43822.99,49030.76,45302.59,41134.87,43492.06,49602.34,46522.12,46885.63,46488.81,51760.12,44328.09,51463.77,49025.0,42877.39,47979.71,52531.69,49267.42,46306.74,49156.79,44029.38,33603.73,46348.38,45381.2,41798.02,46905.83,49005.85,36740.65,41326.48,47492.44,38580.36,50198.09,47875.45,48392.53,43888.41,42427.54,47930.3,40969.7,45975.19
8,,46387.67,46785.94,45852.08,45178.09,44502.82,44126.35,46256.99,49471.44,45095.54,47533.71,44792.56,53603.83,44337.66,43871.67,48355.29,47431.16,41187.04,46802.33,44781.98,44059.33,45040.51,49069.44,43541.68,44159.16,46239.23,49314.51,45905.9,43889.07,49029.77,44634.12,44699.81,46372.3,38411.02,47531.58,43626.29,51466.71,55399.23,49318.13,53551.34,44993.15,44450.17,50959.28,48911.27,53043.03,51072.81,46848.35,42253.92,44430.35,40674.04,44491.44,42029.84
9,,44898.47,41680.21,49522.67,45500.56,45130.83,42999.35,46898.89,42060.2,48981.7,46123.5,43226.57,42133.96,39794.7,45444.0,52311.99,50876.88,47513.45,46744.54,46086.83,44247.46,42508.03,45501.21,40506.97,45933.57,39595.84,47666.91,49357.76,42548.46,44435.87,44308.94,39975.29,50652.82,43829.11,44206.9,39123.66,48904.88,46109.56,42513.8,52406.3,45276.19,46880.73,43543.22,39032.85,40682.16,42241.75,48542.65,43626.81,39983.81,44178.99,43688.71,49881.63
