Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-map,536.61,2.04,615.55,378899.48
collections,ETS,stan-mcmc,5373.91,9.99,6394.49,40889530.12
commons-fileupload,ETS,stan-mcmc,272.33,4.84,332.8,110754.17
jxpath,ETS,stan-map,971.54,3.27,1252.24,1568110.42
commons-jelly,ETS,stan-map,104.26,0.24,119.28,14228.8
dbutils,ETS,stan-map,32.58,0.49,38.03,1446.54
cocoon,ETS,stan-mcmc,41568.52,14.99,48170.79,2320425448.78
cayenne,ETS,stan-mcmc,10624.63,4.8,10719.81,114914369.55
hive,ETS,stan-map,99182.44,15.84,113195.62,12813248777.81
bcel,ETS,stan-mcmc,1412.09,2.57,1805.26,3258969.69
zookeeper,ETS,stan-map,1687.16,2.67,1861.81,3466348.78
felix,ETS,stan-map,30954.28,12.5,36684.93,1345783743.14
beanutils,ETS,stan-map,728.85,1.27,1014.7,1029608.51
commons-cli,ETS,stan-mcmc,929.25,11.83,1023.85,1048274.52
commons-exec,ETS,stan-mcmc,225.16,4.19,278.03,77302.98
net,ETS,stan-map,676.3,2.26,917.36,841556.95
batik,ETS,stan-mcmc,33454.56,30.76,46856.07,2195491094.04
ognl,ETS,stan-map,256.7,0.94,286.53,82101.1
santuario,ETS,stan-mcmc,4307.27,3.53,5582.09,31159732.19
daemon,ETS,stan-mcmc,35.33,0.88,41.38,1712.46
commons-jexl,ETS,stan-map,2491.11,15.97,2954.72,8730372.85
httpcore,ETS,stan-map,3245.0,4.27,4679.01,21893142.1
thrift,ETS,stan-mcmc,1035.5,4.98,1191.69,1420125.26
configuration,ETS,stan-mcmc,2133.66,4.95,2966.23,8798498.4
commons-io,ETS,stan-mcmc,5676.06,15.52,7352.44,54058329.97
httpclient,ETS,stan-map,17769.29,28.33,19410.19,376755336.45
archiva,ETS,stan-map,16780.17,16.89,23623.87,558087330.01
validator,ETS,stan-map,1152.23,6.99,1344.8,1808475.11
dbcp,ETS,stan-mcmc,515.46,3.68,739.96,547543.32
codec,ETS,stan-map,1196.47,7.07,1428.85,2041621.75
vfs,ETS,stan-mcmc,728.58,2.66,1131.05,1279278.99
