Index,Lower,Upper,Predicted,Actual
104,-357.87,12144.91,5843.88,5225.67
105,-27.41,12212.72,5899.4,5210.0
106,-97.82,11984.28,5852.31,5194.33
107,-172.95,11774.88,5758.65,5178.67
108,-106.59,11785.04,5729.55,5163.0
109,-160.53,11723.61,5673.82,5147.33
110,-70.58,11477.01,5743.88,5131.67
111,-245.34,11244.67,5628.9,5116.0
112,-222.43,11240.62,5524.34,5100.33
113,8.89,11335.23,5594.02,5084.67
114,129.7,10989.89,5514.68,5069.0
115,219.49,11158.53,5547.58,5171.46
116,-132.14,10888.21,5497.41,5273.92
117,33.09,10852.73,5380.32,5376.38
118,132.78,11013.0,5468.81,5478.85
119,198.55,10623.82,5497.78,5581.31
120,293.28,10910.24,5561.64,5683.77
121,328.0,10581.96,5582.17,5786.23
122,447.42,10856.09,5497.62,5888.69
123,429.82,10498.61,5534.73,5991.15
124,535.48,10555.35,5534.35,6093.62
125,675.63,10475.68,5628.59,6196.08
126,625.48,10609.94,5621.14,6298.54
127,760.39,10396.59,5590.81,6401.0
128,913.86,10587.43,5756.29,6503.46
129,1140.59,10559.86,5735.91,6605.92
