Index,Lower,Upper,Predicted,Actual
134,20475.87,29121.84,24797.5,25578.0
135,20454.26,29331.29,24841.77,25526.0
136,20476.54,29258.88,24861.62,25474.0
137,20611.29,29272.08,24831.69,25422.0
138,20547.16,29352.81,24942.64,25370.0
139,20701.03,29105.7,24949.71,25521.0
140,20842.15,29333.63,25036.23,25672.0
141,20842.82,29167.57,25022.52,25567.0
142,20864.49,29205.78,24946.59,25462.0
143,20922.23,29192.41,25073.35,25357.0
144,21207.82,28993.63,25051.24,25252.0
145,21009.29,29113.96,25075.02,25253.0
146,21044.78,28989.31,25081.92,25254.0
147,21127.84,29008.61,25068.21,25255.0
148,21276.11,29061.41,25120.97,25362.0
149,21446.79,28964.65,25145.87,25469.0
150,21411.86,29009.79,25250.52,25576.0
151,21565.04,28943.56,25184.47,25683.0
152,21547.52,28818.23,25247.34,25790.0
153,21545.0,28858.98,25253.45,25800.0
154,21676.17,28870.43,25315.34,25810.5
155,21792.04,28776.81,25303.01,25821.0
156,21703.45,28828.29,25337.89,25831.5
157,21969.47,28874.34,25391.86,25842.0
158,21867.45,28861.05,25388.53,26624.0
159,22141.06,29024.52,25488.23,27530.0
160,22080.65,29065.13,25628.93,27556.25
161,22287.94,29157.21,25715.31,27582.5
162,22274.6,29358.42,25826.89,27608.75
163,22492.26,29460.58,25922.97,27635.0
164,22529.12,29452.25,26014.1,27717.5
165,22723.79,29669.1,26158.56,27800.0
166,22922.16,29710.75,26257.84,28520.0
167,22878.66,30056.33,26405.36,29240.0
