Index,Lower,Upper,Predicted,Actual
89,3475.36,6126.91,4790.19,5066.53
90,3506.04,6214.59,4841.65,5072.06
91,3533.48,6145.98,4821.08,5077.59
92,3530.72,6175.76,4858.3,5083.12
93,3560.67,6167.09,4872.36,5088.66
94,3614.48,6185.04,4878.6,5094.19
95,3587.6,6170.2,4884.8,5099.72
96,3639.39,6234.02,4906.87,5105.25
97,3664.83,6245.56,4923.56,5110.78
98,3717.14,6173.46,4932.93,5116.31
99,3698.41,6188.74,4948.64,5121.84
100,3746.98,6185.75,4941.02,5127.38
101,3761.7,6155.76,4949.09,5132.91
102,3834.23,6115.81,4973.75,5138.44
103,3819.09,6174.98,4979.24,5143.97
104,3842.37,6192.27,5003.47,5149.5
105,3862.47,6126.81,4995.62,5155.03
106,3899.33,6135.75,5014.5,5160.56
107,3887.19,6135.58,5026.17,5166.09
108,3942.23,6141.69,5045.28,5171.62
109,3941.43,6120.44,5046.4,5177.16
110,3969.04,6163.78,5059.3,5182.69
111,4050.33,6123.6,5064.27,5188.22
