S00117_Actual,S00117_Simulated,S00112_Actual,S00112_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
1.0986122886681098,0.747335632553444,3.3202283191284883,1.6889869029199953,0.0,0.0,0.0,0.0,0.0,0.18393647179709674
1.0986122886681098,0.02686938122137572,3.3262343431887,2.1216375837662453,0.0,0.0,0.0,0.0,0.0,0.006147454731070728
1.0986122886681098,0.7187581032128949,3.332204510175204,2.792398733517389,0.0,0.0,0.0,0.0,0.0,0.04252266709487426
1.0986122886681098,0.9404274427093848,3.332204510175204,2.8331933710237736,0.0,0.0,0.0,0.0,0.0,0.0
1.0986122886681098,0.38376208534480766,3.332204510175204,2.893964250351596,0.0,0.0,0.0,0.0,0.0,0.03140049189392846
1.0986122886681098,1.386481143304144,3.332204510175204,1.981237378578675,0.0,0.0,0.0,0.0,0.0,0.6090328029768282
1.0986122886681098,0.48412539758595813,3.332204510175204,2.3133614827619495,0.0,0.0,0.0,0.0,0.0,0.18442748645178741
1.0986122886681098,0.16620238752459515,3.332204510175204,2.7614884280072967,0.0,0.0,0.0,0.0,0.0,0.0
1.0986122886681098,0.3542021687343713,3.332204510175204,1.7653763137065746,0.0,0.0,0.0,6.390122771121333e-07,0.0,0.018524788877111148
1.0986122886681098,0.8864289724101948,3.332204510175204,2.031547071139826,0.0,0.0,0.0,0.0,0.0,0.3832235366505754
1.0986122886681098,0.5930338168422374,3.332204510175204,0.5508117526813787,0.0,0.0,0.0,0.0,0.0,0.0
1.0986122886681098,0.9041184202839313,3.332204510175204,2.394325384260847,0.0,0.0,0.0,0.0,0.0,0.2852231778486761
