RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1905_Actual,S1905_Simulated,S1488_Actual,S1488_Simulated
0.0,0.5727973749538712,0.0,0.40055451451781227,0.0,0.30292891362959246,0.0,0.2853084155855916
0.0,2.105405068701124,0.0,0.0,0.0,0.7658706106453237,0.0,0.0
0.0,1.6827086577799921,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.38436622436524626,0.0,0.17837908135567146
0.0,1.420450315098973,0.0,0.0,0.0,0.6178186699295773,0.0,0.0
0.0,0.877337689047246,0.0,1.3031581816760727,0.0,0.6318628560016664,0.0,0.783090773906802
0.0,1.1827647990409171,0.0,1.992103745807925,0.0,0.0,0.0,1.6676925995318006
0.0,0.0,0.0,0.0,0.0,1.635536695599681,0.0,1.9212029626028218
0.0,1.8217665206472335,0.0,1.6427571924613327,0.0,0.7122269633546531,0.0,0.0
0.0,1.3242184022468635,0.0,0.6416366281373884,0.0,0.4740425448830623,0.0,1.161024466353067
0.0,2.3977673835599185,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0385214227101633,0.0,0.9242361835228736,0.0,0.5046033824625552,0.0,0.0
0.0,2.354322270733032,0.0,0.658665562547207,0.0,0.0,0.0,0.03251635026234623
0.0,0.8693126464370109,0.0,1.1639907398873723,0.0,0.6858410892790727,0.0,1.5181591054552523
0.0,2.846028831431224,0.0,0.5499446533468217,0.0,0.11564732647074785,0.0,0.9978059069713411
0.0,1.1562837428292054,0.0,0.0,0.0,0.019633065519573056,0.0,0.065666932067619
0.0,0.0,0.0,1.4573791945078383,0.0,0.8646034845584929,0.0,0.43370297288306114
0.0,2.7156307685976624,0.0,1.3881049020909335,0.0,0.42488333066913786,0.0,1.5623403769635487
0.0,0.0,0.0,0.6016225932888555,0.0,0.0,0.0,0.0
0.0,1.5590415757887328,0.0,0.6972129837457326,0.0,0.36063294338774504,0.0,1.2170907582018327
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7567314432615679
0.0,0.1137059276648083,0.0,0.0,0.0,1.0552953690582918,0.0,1.3063585346900581
0.0,0.049260991511510865,0.0,0.31406468197808257,0.0,1.3155122640863897,0.0,0.0
0.0,0.0,0.0,0.4793582675948834,0.0,0.49589987276324277,0.0,1.0476549963118145
