Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,7772.7,47.0,9192.94,84510057.64
collections,DGLM,2341.61,4.99,1431.59,2049437.46
commons-fileupload,DGLM,44.88,0.88,17.13,293.57
commons-jelly,DGLM,994.51,2.39,1006.15,1012346.2
dbutils,DGLM,66998.17,210.2,179426.48,32193861368.94
felix,DGLM,32720.14,23.48,12421.2,154286211.61
beanutils,DGLM,4094.5,8.34,4634.79,21481239.61
commons-exec,DGLM,329.93,7.38,56.61,3204.74
ognl,DGLM,317.72,1.19,286.04,81816.66
daemon,DGLM,25.91,0.66,5.93,35.18
thrift,DGLM,96747.36,97.18,106773.8,11400644064.13
commons-io,DGLM,733.41,2.91,715.29,511632.72
httpclient,DGLM,2839.78,3.56,1122.38,1259725.85
