,Actual_last_5_vals,Mean_Simulation,Simulated_14,Simulated_28,Simulated_7,Simulated_12,Simulated_19,Simulated_35,Simulated_3,Simulated_47,Simulated_5,Simulated_36,Simulated_2,Simulated_26,Simulated_34,Simulated_42,Simulated_27,Simulated_21,Simulated_38,Simulated_15,Simulated_25,Simulated_8,Simulated_33,Simulated_29,Simulated_13,Simulated_24,Simulated_48,Simulated_23,Simulated_18,Simulated_40,Simulated_1,Simulated_4,Simulated_41,Simulated_30,Simulated_17,Simulated_22,Simulated_45,Simulated_44,Simulated_37,Simulated_32,Simulated_0,Simulated_31,Simulated_46,Simulated_10,Simulated_6,Simulated_16,Simulated_43,Simulated_11,Simulated_20,Simulated_49,Simulated_39,Simulated_9
0,57596.857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57733.142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,57869.42857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,58005.71428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,58142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07,51512.07
6,,52856.9,50033.09,55001.26,50953.74,48547.96,60283.32,54796.62,52710.49,55849.14,57624.87,64195.65,59014.02,56136.83,41012.62,45857.22,58671.51,41247.51,52790.78,55109.92,63414.62,47171.79,45118.6,61509.98,37999.5,48280.59,61800.64,56662.11,62290.04,50172.36,58625.05,57799.52,49490.03,46055.23,58220.49,45874.28,56082.42,46905.68,66219.52,44434.09,46594.09,62844.58,40006.88,47924.4,43822.17,55106.91,52726.31,43122.81,47799.88,44460.37,70267.36,64206.03
7,,50942.3,51135.3,59082.55,52464.03,56996.53,43901.87,54985.91,44576.33,48719.65,57924.99,54118.79,48489.47,59499.68,55430.11,51638.06,56615.9,51360.24,39613.34,58906.03,56726.86,48814.77,42981.05,60033.7,49306.77,44964.38,59863.99,52165.81,49829.05,39869.47,60512.27,37742.04,45147.49,45462.6,49402.55,59258.42,64043.23,47572.49,56989.75,51907.63,41695.15,57708.05,46553.24,50113.82,54212.07,41285.67,40618.46,56881.16,43564.86,45159.64,55364.39,45905.29
8,,52105.25,56825.75,52604.26,53186.78,50158.67,53805.33,50598.81,55339.61,62984.24,51320.78,49372.14,51363.2,50733.31,56253.05,50450.52,42683.44,46768.32,45974.07,55355.05,54028.48,60677.81,54904.47,52053.35,55646.04,57431.2,50726.04,58596.74,55774.94,55965.56,52173.36,46244.3,58703.39,53227.55,50866.74,56780.87,45654.48,41698.0,44296.67,59518.31,49013.25,59795.64,52180.95,41311.23,57159.26,40573.75,57782.74,56577.82,56712.96,56901.69,40364.83,36142.93
9,,52566.02,57505.88,50646.09,44583.59,48945.96,55294.39,58458.89,52262.86,53900.98,54848.64,53816.93,49524.72,60904.69,54382.36,46617.65,53219.23,56075.08,49557.41,55907.07,46663.86,53546.47,56964.18,56231.93,53837.27,51045.17,51938.01,39297.98,53379.69,56192.56,49213.21,57407.47,49835.98,42308.42,44268.11,44701.32,46053.29,62618.23,54961.15,59738.86,57300.08,52885.32,46647.84,48339.39,44028.97,46431.72,64945.91,63992.87,61949.31,57658.73,50544.35,46921.1
10,,53999.96,53885.11,51207.1,57372.16,51501.12,54638.13,47705.2,63659.7,56616.38,48429.99,56239.24,44708.03,54305.35,54099.97,46523.51,55523.69,56773.44,57750.56,61906.06,53198.77,61786.15,56585.84,49822.81,59645.76,44232.71,46191.2,50813.08,67229.77,61078.89,44372.41,53818.43,43369.53,59646.19,40550.85,56365.49,52928.77,54657.42,54833.6,61119.25,62008.05,46858.12,45024.79,65653.99,47265.56,47983.31,61322.75,59002.86,43328.74,68787.4,62282.91,45387.79
11,MAE,,2132.0,2582.74,2643.51,3071.44,3255.58,3279.57,3284.94,3340.88,3397.95,3456.42,3614.2,3642.22,3732.71,3795.83,3847.83,3941.13,4047.58,4118.95,4161.48,4191.97,4247.14,4273.24,4491.8,4528.05,4613.57,4662.52,4709.93,4720.53,4731.1,4837.8,4853.38,4884.58,4981.48,5034.1,5060.19,5072.99,5074.57,5182.22,5224.02,5317.49,5368.02,5405.94,5438.33,5931.52,5972.43,6095.88,6182.78,6475.96,7312.93,7767.59
