S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.0,0.19903756679548096,0.0,0.0627247989161265,0.45515595477864185,2.067760709232467,0.0,0.4722537343060408,0.0,0.11086315715662766,0.0,0.05140755755911177,0.04691691978775157,0.6143608525794846,0.0,0.5357143502130369,0.04691691978775157,0.794859720905366
0.0,0.6886533515618307,0.0,0.37810610370819564,0.4213499186481877,2.429292279576828,0.0,1.2297537283606046,0.0,0.10528174511376727,0.0,0.0,0.04274154837727106,0.48373688485079297,0.0,0.0,0.04274154837727106,0.9908817339746053
0.0,0.3718471907139125,0.0,0.5416271020376959,0.3863609267981219,2.3231326932990943,0.0,0.0,0.0,0.0,0.0,0.0,0.038548670117235125,0.29838032345180393,0.0,0.7174662585871209,0.038548670117235125,1.7949263550045889
0.0,0.3889870371820434,0.0,0.3328241663742365,0.3501031787754985,1.930093351240694,0.0,0.9350972669846496,0.0,0.0,0.0,0.25530458613321794,0.03433813758089155,0.9657042400971098,0.0,0.09661438021411506,0.03433813758089155,0.3154221610424314
0.0,0.10930594863473726,0.0,0.0,0.3124811869859139,1.2865770852435638,0.0,0.0,0.0,0.44610135902929343,0.0,0.0,0.03010980147137047,0.8846961458414199,0.0,0.1898342335930836,0.03010980147137047,0.2895382745527335
0.0,0.37619609912915686,0.0,0.0,0.27338826119463594,1.491008499085062,0.0,0.19206922205289378,0.0,0.04726969654008871,0.0,0.0,0.025863510589919297,0.7611532925730777,0.0,0.0,0.025863510589919297,0.0
0.0,0.8473788454167059,0.0,0.46059825308432945,0.23270468455819335,3.3269711231842765,0.0,1.1228383489913596,0.0,0.0,0.0,0.015056187846113615,0.021599111803461798,0.9474456945680336,0.0,0.0,0.021599111803461798,0.0
0.0,0.0,0.0,0.0,0.19029550263309924,1.9148051794567753,0.0,1.6407138303179343,0.0,0.0,0.0,0.0,0.017316450011460875,0.45666015338700067,0.0,2.124865205227309,0.017316450011460875,0.6339217777877905
0.0,0.0,0.0,0.0,0.1460078224319825,2.3598639819136173,0.0,2.4224490175139586,0.0,0.18639371296834248,0.0,0.1847782870018835,0.0130153681120703,0.42998893127667964,0.0,0.7530106526637967,0.0130153681120703,0.4377711954868502
0.0,0.6442711564970552,0.0,0.17156340475027199,0.09966748517328153,2.2237623654786396,0.0,0.46400552461357175,0.0,0.7719026325550844,0.0,0.9095127064483588,0.008695706967553821,0.326476950733095,0.0,0.0,0.008695706967553821,0.25245927168479276
0.0,0.43590441968222227,0.0,0.3208710236400455,0.05107492993641579,3.1273013697122334,0.0,0.0,0.0,0.7384516500293657,0.0,0.367686253985611,0.00435730536895569,1.3516464375807102,0.0,1.9084148004621762,0.00435730536895569,0.23798296937665564
0.0,0.4638842217661015,0.0,0.14570459861085672,0.0,1.7719687946858396,0.0,0.0,0.0,0.3398424145278773,0.0,0.21266315919708323,0.0,0.1909295052215565,0.0,1.991385247182138,0.0,0.4372898429343843
