Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,DLM,MCMC,639.91,2.36,707.35,500342.04
collections,DLM,MCMC,5127.93,10.97,6040.4,36486460.51
commons-fileupload,DLM,MCMC,297.93,5.74,359.69,129377.01
jxpath,DLM,MCMC,963.85,3.43,1242.07,1542743.18
commons-jelly,DLM,MCMC,89.24,0.21,105.83,11199.22
dbutils,DLM,MCMC,38.69,0.58,44.0,1936.25
cocoon,DLM,MCMC,50515.97,23.81,56931.65,3241212964.13
cayenne,DLM,MCMC,10150.64,4.82,10281.3,105705150.99
hive,DLM,MCMC,100954.14,20.24,114783.71,13175300006.18
bcel,DLM,MCMC,1383.29,2.46,1772.6,3142128.03
zookeeper,DLM,MCMC,1727.61,2.82,1909.22,3645105.72
felix,DLM,MCMC,32271.96,15.74,37803.9,1429134864.14
beanutils,DLM,MCMC,718.53,1.29,981.32,962987.48
commons-cli,DLM,MCMC,1078.96,16.32,1151.05,1324910.15
commons-exec,DLM,MCMC,219.78,4.35,268.88,72295.98
net,DLM,MCMC,695.45,2.43,939.96,883517.44
batik,DLM,MCMC,32394.48,18.73,45635.96,2082640588.7
ognl,DLM,MCMC,175.33,0.65,211.82,44869.58
santuario,DLM,MCMC,4194.08,3.65,5457.39,29783071.39
daemon,DLM,MCMC,47.68,1.2,54.71,2992.95
commons-jexl,DLM,MCMC,2466.31,20.21,2932.69,8600669.74
httpcore,DLM,MCMC,3399.41,4.91,4795.6,22997766.14
thrift,DLM,MCMC,938.83,4.77,1006.21,1012452.4
configuration,DLM,MCMC,2076.92,5.31,2934.17,8609334.37
commons-io,DLM,MCMC,5651.12,20.5,7309.89,53434480.54
httpclient,DLM,MCMC,17490.88,20.94,19017.53,361666273.72
archiva,DLM,MCMC,15815.76,22.57,22817.5,520638399.79
validator,DLM,MCMC,1174.05,7.87,1363.56,1859309.31
dbcp,DLM,MCMC,534.81,3.61,723.8,523889.71
codec,DLM,MCMC,1204.1,7.91,1435.31,2060114.33
vfs,DLM,MCMC,767.18,2.99,1227.56,1506896.86
