S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.8654164806904682,0.0,0.19170098661429782,0.0,0.051733357324998425,0.0,0.46172097945521134,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.09785579000375867,0.6025512276968152,0.0,0.5169270278182613
0.17135825199668528,1.1342905178239902,0.0,0.5673754480830693,0.0,0.13223682451757734,0.0,0.5075846562998484,0.0,0.0,0.08934510033585,0.0,0.0,0.0,0.0,0.121305178484163,0.08934510033585,0.20514507891230965,0.0,1.3926437112905066
0.15548490284039515,0.330956527175601,0.0,0.7480770862458656,0.0,0.46672507341169445,0.0,1.0726465914235908,0.0,0.0,0.08076135664445859,0.0,0.0,0.0,0.0,0.3480733072744709,0.08076135664445859,1.2552542756724865,0.0,0.7350068970566048
0.13935552091051145,0.7670832605947588,0.0,0.0,0.0,0.3077351007101533,0.0,2.1430629870941753,0.0,0.0,0.07210329390134397,2.066131489361257,0.0,0.20204894851861685,0.0,0.0,0.07210329390134397,0.6378008253357268,0.0,1.4338785770278277
0.1229617111348351,0.3948923573307845,0.0,0.0,0.0,0.0,0.0,2.404668053058993,0.0,0.0,0.06336961393258933,0.3284539932991263,0.0,0.0,0.0,0.08745504744899055,0.06336961393258933,0.3416651782007966,0.0,2.188710364109668
0.10629465864962341,0.3392291889596877,0.0,0.4527272180571905,0.0,0.2875801441238188,0.0,0.0,0.0,0.03216030862911565,0.0545589842504345,1.661195372645016,0.0,0.0,0.0,0.7126790542280913,0.0545589842504345,0.19582077111098362,0.0,2.315483066437386
0.08934510033585008,0.6386430028306609,0.0,0.0664566276400477,0.0,0.37918861781472746,0.0,1.6226395095846127,0.0,0.056036881692719115,0.04567003683318844,0.07288456987646802,0.0,0.3428395185395111,0.0,0.0,0.04567003683318844,0.0,0.0,1.638351993557222
0.07210329390134407,0.629663845787464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036701366850428,0.0,0.0,0.012283860057020667,0.0,0.0,0.036701366850428,1.0061187866668424,0.0,1.1372030627475662
0.0545589842504346,0.5616959312605716,0.0,0.0,0.0,0.31653075048732127,0.0,0.0,0.0,0.015324548227269932,0.027651531330510157,0.4972486610552903,0.0,0.4768491155093512,0.0,0.19847126352287725,0.027651531330510157,0.6503973472102808,0.0,1.3626259322118115
0.0367013668504281,1.1364630909091165,0.0,0.0,0.0,0.18720072231368953,0.0,0.052711945863533616,0.0,0.8907726588479089,0.018519047767237597,1.3641055222168392,0.0,0.0,0.0,0.10741134091630053,0.018519047767237597,0.296836549000254,0.0,1.7094742571761192
0.018519047767237697,0.3804441609962985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34894317061787394,0.009302392662313554,0.05567995775469731,0.0,0.03645598369020572,0.0,0.0,0.009302392662313554,0.9463273327132918,0.0,1.5876330389242348
0.0,0.8379495220359057,0.0,0.0,0.0,0.1638527880346751,0.0,2.082116368351409,0.0,0.0,0.0,0.16973180782502173,0.0,0.09525168680000562,0.0,0.5417970343632423,0.0,0.8140204154789699,0.0,1.773047359399397
