S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.0,0.19170098661429782,0.0,0.051733357324998425,0.0,0.46172097945521134,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.09785579000375867,0.6025512276968152,0.0,0.5169270278182613
0.0,0.175175333838491,0.0,0.0,0.0,1.954997834169959,0.0,0.0,0.08934510033585,0.6766217585345833,0.0,0.3385455313741415,0.0,0.21160147148893435,0.08934510033585,1.3691504066170355,0.0,0.0
0.0,0.04298956961204911,0.0,0.0,0.0,1.0374173948098147,0.0,0.7122760559564483,0.08076135664445859,0.0,0.0,0.0,0.0,0.0,0.08076135664445859,0.6498830826413009,0.0,0.40344408249761654
0.0,0.2561836395117294,0.0,0.06743296108294079,0.0,0.9902138448840814,0.0,0.3094578110149543,0.07210329390134397,1.424241373953363,0.0,0.0,0.0,0.5267473173814369,0.07210329390134397,0.954001398902206,0.0,0.0
0.0,0.5226808425401734,0.0,0.36610715616140976,0.0,2.9616091247336542,0.0,0.24446749553770464,0.06336961393258933,0.6662650895945668,0.0,0.0,0.0,0.16409583111037918,0.06336961393258933,0.0,0.0,1.0240594997142658
0.0,0.45791733276794433,0.0,0.0,0.0,0.0,0.0,0.0,0.0545589842504345,1.07992724043448,0.0,0.22805892953185689,0.0,0.7210545946716018,0.0545589842504345,0.7120537665583064,0.0,0.6821754185485253
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04567003683318844,1.2719463202097194,0.0,0.0,0.0,0.0,0.04567003683318844,0.5031596428060647,0.0,0.0
0.0,0.0,0.0,0.20850199955300103,0.0,1.278806590089302,0.0,0.3012841205919901,0.036701366850428,0.5702194530775965,0.0,0.017936172263285366,0.0,0.025178413413514983,0.036701366850428,0.5115495076672515,0.0,0.8227299791532597
0.0,0.500292240054809,0.0,0.8659962075153247,0.0,1.3946760319016418,0.0,0.6985805133633746,0.027651531330510157,0.0,0.0,0.19425972336146702,0.0,0.0,0.027651531330510157,0.0,0.0,1.5836981390851053
0.0,0.7434023851588103,0.0,0.087874724215856,0.0,1.7745884375275185,0.0,0.382688418921271,0.018519047767237597,0.7739219311371361,0.0,0.0,0.0,0.4221768088425257,0.018519047767237597,0.8342676698939089,0.0,2.44421524166249
0.0,0.0,0.0,0.23895588777833587,0.0,1.0249591777759206,0.0,0.0585727547381795,0.009302392662313554,0.0,0.0,0.0,0.0,0.7423212182066561,0.009302392662313554,0.0,0.0,0.6406408845788034
0.0,0.7069569023501194,0.0,0.014609063691414785,0.0,1.4232684968811653,0.0,0.0,0.0,0.42750336564054603,0.0,0.01509919326820651,0.0,0.0,0.0,0.2668809636085698,0.0,0.0
